Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales,Outlet_Large,Outlet_Medium,Outlet_Small
FDU02,13.35,0,0.102,0,230.5352,6,18,2,1,1,2748.4224,0.0,0.0,1.0
FDN22,18.85,1,0.138,1,250.8724,1,35,0,2,1,3775.086,1.0,0.0,0.0
FDW12,12.86,1,0.035,0,144.5444,5,37,1,2,3,4064.0432,0.0,1.0,0.0
NCB30,14.6,0,0.026,0,196.5084,6,18,2,1,1,1587.2672,0.0,0.0,1.0
FDC37,12.86,0,0.058,0,107.6938,4,37,2,0,0,214.3876,0.0,0.0,1.0
FDR28,13.85,1,0.026,1,165.021,8,25,2,0,1,4078.025,0.0,0.0,1.0
NCD06,13.0,0,0.1,0,45.906,2,15,2,1,1,838.908,0.0,0.0,1.0
FDV10,7.64,1,0.067,1,42.3112,6,18,2,1,1,1065.28,0.0,0.0,1.0
DRJ59,11.65,0,0.019,2,39.1164,1,35,0,2,1,308.9312,1.0,0.0,0.0
FDE51,5.92,1,0.161,0,45.5086,0,24,2,2,0,178.4344,0.0,0.0,1.0
FDC14,12.86,1,0.072,1,43.6454,4,37,2,0,0,125.8362,0.0,0.0,1.0
FDV38,19.25,0,0.17,0,55.7956,0,24,2,2,0,163.7868,0.0,0.0,1.0
NCS17,18.6,0,0.081,2,96.4436,3,13,1,2,2,2741.7644,0.0,1.0,0.0
FDP33,18.7,0,0.066,1,256.6672,3,13,1,2,2,3068.0064,0.0,1.0,0.0
FDO23,17.85,0,0.066,0,93.1436,7,20,2,1,1,2174.5028,0.0,0.0,1.0
DRH01,17.5,0,0.098,2,174.8738,8,25,2,0,1,2085.2856,0.0,0.0,1.0
NCX29,10.0,0,0.089,2,146.7102,9,23,1,0,1,3791.0652,0.0,1.0,0.0
FDV20,12.86,1,0.06,0,128.0678,5,37,1,2,3,2797.6916,0.0,1.0,0.0
DRZ11,8.85,1,0.113,2,122.5388,3,13,1,2,2,1609.9044,0.0,1.0,0.0
FDX10,12.86,1,0.123,1,36.9874,5,37,1,2,3,388.1614,0.0,1.0,0.0
FDB34,12.86,0,0.026,1,87.6198,5,37,1,2,3,2180.495,0.0,1.0,0.0
FDU02,13.35,0,0.103,0,230.6352,8,25,2,0,1,3435.528,0.0,0.0,1.0
FDK43,9.8,0,0.027,0,126.002,1,35,0,2,1,2150.534,1.0,0.0,0.0
FDA46,13.6,0,0.118,1,192.9136,9,23,1,0,1,2527.3768,0.0,1.0,0.0
FDC02,21.35,0,0.069,1,259.9278,3,13,1,2,2,6501.8699,0.0,1.0,0.0
FDL50,12.15,1,0.042,1,126.5046,1,35,0,2,1,373.5138,1.0,0.0,0.0
FDM39,6.42,0,0.089,0,178.1002,0,24,2,2,0,358.2004,0.0,0.0,1.0
NCP05,19.6,0,0.066,2,153.3024,7,20,2,1,1,2428.8384,0.0,0.0,1.0
FDV49,10.0,0,0.026,1,265.2226,7,20,2,1,1,5815.0972,0.0,0.0,1.0
FDL12,15.85,1,0.122,0,60.622,8,25,2,0,1,2576.646,0.0,0.0,1.0
FDS02,12.86,1,0.255,0,196.8794,4,37,2,0,0,780.3176,0.0,0.0,1.0
NCL17,7.39,0,0.068,2,143.8812,8,25,2,0,1,3134.5864,0.0,0.0,1.0
FDM40,10.2,0,0.16,1,141.5154,1,35,0,2,1,850.8924,1.0,0.0,0.0
FDR13,9.89,1,0.029,1,117.0492,1,35,0,2,1,810.9444,1.0,0.0,0.0
FDA43,10.89,0,0.065,0,196.3794,2,15,2,1,1,3121.2704,0.0,0.0,1.0
NCP18,12.15,0,0.029,0,151.4708,2,15,2,1,1,4815.0656,0.0,0.0,1.0
FDK21,7.91,0,0.01,1,249.0408,3,13,1,2,2,6258.52,0.0,1.0,0.0
NCX54,9.2,0,0.048,0,106.1622,7,20,2,1,1,2117.244,0.0,0.0,1.0
DRK35,8.37,0,0.072,2,38.0506,9,23,1,0,1,796.9626,0.0,1.0,0.0
FDY21,15.1,0,0.173,1,194.511,8,25,2,0,1,4910.275,0.0,0.0,1.0
FDI26,12.86,0,0.061,1,180.0344,4,37,2,0,0,892.172,0.0,0.0,1.0
FDM20,10.0,0,0.066,0,246.9144,3,13,1,2,2,3185.1872,0.0,1.0,0.0
FDV27,7.97,1,0.04,0,87.3514,7,20,2,1,1,1062.6168,0.0,0.0,1.0
FDF09,12.86,0,0.012,0,38.2848,5,37,1,2,3,484.7024,0.0,1.0,0.0
FDY40,12.86,1,0.15,1,51.0692,4,37,2,0,0,147.8076,0.0,0.0,1.0
FDY45,12.86,0,0.026,1,255.8356,5,37,1,2,3,2543.356,0.0,1.0,0.0
FDC46,17.7,0,0.195,1,185.4266,0,24,2,2,0,184.4266,0.0,0.0,1.0
FDH19,19.35,0,0.033,0,172.5738,6,18,2,1,1,4865.6664,0.0,0.0,1.0
FDZ03,13.65,1,0.079,0,186.024,7,20,2,1,1,1118.544,0.0,0.0,1.0
DRH37,17.6,0,0.042,2,164.8526,7,20,2,1,1,2302.3364,0.0,0.0,1.0
NCI17,8.64,0,0.143,2,95.841,8,25,2,0,1,2027.361,0.0,0.0,1.0
FDJ58,15.6,1,0.105,1,170.1764,8,25,2,0,1,3435.528,0.0,0.0,1.0
FDL12,15.85,1,0.122,0,59.222,1,35,0,2,1,599.22,1.0,0.0,0.0
FDH35,18.25,0,0.066,0,164.7526,7,20,2,1,1,4604.6728,0.0,0.0,1.0
FDG02,7.86,0,0.011,1,189.6188,2,15,2,1,1,2285.0256,0.0,0.0,1.0
NCZ18,7.83,0,0.186,0,254.3698,9,23,1,0,1,5580.7356,0.0,1.0,0.0
FDC29,8.39,1,0.024,1,114.0176,8,25,2,0,1,2290.352,0.0,0.0,1.0
FDQ10,12.85,0,0.033,1,172.3422,9,23,1,0,1,1207.0954,0.0,1.0,0.0
FDN48,12.86,0,0.114,0,89.9804,4,37,2,0,0,643.1628,0.0,0.0,1.0
FDL04,19.0,0,0.113,1,104.9622,2,15,2,1,1,1587.933,0.0,0.0,1.0
FDV25,5.91,0,0.066,1,222.5456,7,20,2,1,1,5305.0944,0.0,0.0,1.0
FDD58,7.76,0,0.059,1,101.87,8,25,2,0,1,1697.79,0.0,0.0,1.0
FDN04,11.8,1,0.014,1,180.3344,8,25,2,0,1,1427.4752,0.0,0.0,1.0
FDV45,16.75,0,0.045,1,187.9556,3,13,1,2,2,4693.89,0.0,1.0,0.0
NCL18,12.86,0,0.293,0,194.6136,4,37,2,0,0,583.2408,0.0,0.0,1.0
FDR12,12.86,1,0.031,0,171.3764,5,37,1,2,3,3091.9752,0.0,1.0,0.0
FDG20,15.5,1,0.126,0,177.0028,2,15,2,1,1,2479.4392,0.0,0.0,1.0
FDZ55,6.05,0,0.025,0,160.992,6,18,2,1,1,2716.464,0.0,0.0,1.0
FDQ49,12.86,1,0.039,0,155.963,5,37,1,2,3,3285.723,0.0,1.0,0.0
FDN33,6.3,1,0.123,1,95.6436,8,25,2,0,1,661.8052,0.0,0.0,1.0
FDN27,20.85,0,0.04,0,117.2808,9,23,1,0,1,1523.3504,0.0,1.0,0.0
FDW20,20.75,0,0.04,0,122.173,0,24,2,2,0,369.519,0.0,0.0,1.0
DRG27,8.89,0,0.105,0,39.9138,9,23,1,0,1,690.4346,0.0,1.0,0.0
DRI25,19.6,0,0.034,2,55.1614,7,20,2,1,1,1381.535,0.0,0.0,1.0
FDA44,19.7,0,0.053,0,57.893,6,18,2,1,1,622.523,0.0,0.0,1.0
NCR17,9.8,0,0.024,2,114.5492,6,18,2,1,1,1274.3412,0.0,0.0,1.0
FDU04,12.86,0,0.01,1,120.0414,4,37,2,0,0,487.3656,0.0,0.0,1.0
FDF41,12.15,0,0.131,1,246.046,9,23,1,0,1,1231.73,0.0,1.0,0.0
FDB56,8.75,1,0.075,0,187.4556,6,18,2,1,1,3755.112,0.0,0.0,1.0
NCP18,12.86,0,0.028,0,149.9708,5,37,1,2,3,4363.6532,0.0,1.0,0.0
FDB56,8.75,1,0.075,0,187.8556,8,25,2,0,1,1314.2892,0.0,0.0,1.0
FDT28,13.3,0,0.064,1,151.0708,7,20,2,1,1,1805.6496,0.0,0.0,1.0
FDD10,12.86,1,0.046,1,178.5344,5,37,1,2,3,2854.9504,0.0,1.0,0.0
FDW57,8.31,1,0.116,1,179.1028,9,23,1,0,1,3896.2616,0.0,1.0,0.0
DRB48,16.75,1,0.025,2,38.7822,1,35,0,2,1,667.7974,1.0,0.0,0.0
FDP09,19.75,0,0.034,1,212.0902,3,13,1,2,2,3185.853,0.0,1.0,0.0
FDH14,17.1,1,0.047,1,141.1838,1,35,0,2,1,2247.7408,1.0,0.0,0.0
FDA47,10.5,1,0.117,0,163.121,1,35,0,2,1,1794.331,1.0,0.0,0.0
FDG12,6.63,1,0.066,0,121.3098,7,20,2,1,1,2530.7058,0.0,0.0,1.0
DRE60,12.86,0,0.279,2,225.372,4,37,2,0,0,679.116,0.0,0.0,1.0
DRK49,14.15,0,0.036,2,41.4138,1,35,0,2,1,812.276,1.0,0.0,0.0
FDD03,13.3,0,0.08,0,232.53,8,25,2,0,1,699.09,0.0,0.0,1.0
FDS52,8.89,0,0.006,1,102.4016,2,15,2,1,1,2732.4432,0.0,0.0,1.0
FDW39,12.86,1,0.065,0,176.937,4,37,2,0,0,176.437,0.0,0.0,1.0
FDX34,12.86,0,0.072,1,121.7098,5,37,1,2,3,4097.3332,0.0,1.0,0.0
FDV11,9.1,1,0.066,0,173.2054,7,20,2,1,1,3151.8972,0.0,0.0,1.0
FDD17,7.5,0,0.033,1,239.0906,9,23,1,0,1,5942.265,0.0,1.0,0.0
FDZ16,16.85,1,0.161,1,192.4478,2,15,2,1,1,4843.695,0.0,0.0,1.0
FDZ46,7.49,0,0.069,1,109.0228,6,18,2,1,1,2542.0244,0.0,0.0,1.0
DRA12,11.6,0,0.041,2,140.3154,2,15,2,1,1,2552.6772,0.0,0.0,1.0
FDY58,11.65,0,0.04,1,227.0694,3,13,1,2,2,1141.847,0.0,1.0,0.0
NCF19,13.0,0,0.035,0,47.5034,2,15,2,1,1,680.4476,0.0,0.0,1.0
DRJ13,12.65,0,0.063,2,159.0578,7,20,2,1,1,2085.9514,0.0,0.0,1.0
FDB14,20.25,1,0.172,1,92.512,0,24,2,2,0,186.424,0.0,0.0,1.0
FDJ38,8.6,1,0.04,1,190.153,6,18,2,1,1,3036.048,0.0,0.0,1.0
FDW11,12.6,0,0.049,0,62.7194,2,15,2,1,1,866.8716,0.0,0.0,1.0
FDL40,17.7,0,0.012,1,95.041,6,18,2,1,1,868.869,0.0,0.0,1.0
DRI49,14.15,0,0.184,2,82.4276,8,25,2,0,1,1137.1864,0.0,0.0,1.0
FDV38,19.25,0,0.102,0,52.7956,2,15,2,1,1,928.1252,0.0,0.0,1.0
DRG23,8.88,0,0.087,2,151.7682,1,35,0,2,1,762.341,1.0,0.0,0.0
NCP30,20.5,0,0.033,0,40.2822,7,20,2,1,1,707.0796,0.0,0.0,1.0
FDY25,12.86,0,0.034,1,180.5976,5,37,1,2,3,6501.8699,0.0,1.0,0.0
NCH54,13.5,0,0.073,0,160.292,8,25,2,0,1,1438.128,0.0,0.0,1.0
NCR53,12.86,0,0.144,2,224.4404,5,37,1,2,3,6501.8699,0.0,1.0,0.0
FDS52,8.89,0,0.009,1,101.7016,0,24,2,2,0,101.2016,0.0,0.0,1.0
FDG02,7.86,0,0.011,1,188.5188,3,13,1,2,2,952.094,0.0,1.0,0.0
NCO26,7.24,0,0.077,0,116.0492,8,25,2,0,1,1969.4364,0.0,0.0,1.0
FDH35,12.86,0,0.06,0,165.4526,5,37,1,2,3,5262.4832,0.0,1.0,0.0
FDB51,6.92,0,0.039,0,60.5852,7,20,2,1,1,1314.2892,0.0,0.0,1.0
FDX44,9.3,0,0.043,0,90.8172,2,15,2,1,1,535.3032,0.0,0.0,1.0
NCN07,18.5,0,0.057,2,132.1284,0,24,2,2,0,263.6568,0.0,0.0,1.0
NCC31,8.02,0,0.02,0,154.5972,6,18,2,1,1,1402.1748,0.0,0.0,1.0
NCX54,9.2,0,0.048,0,105.1622,2,15,2,1,1,1693.7952,0.0,0.0,1.0
NCO55,12.8,0,0.091,2,105.5938,7,20,2,1,1,2143.876,0.0,0.0,1.0
NCC30,16.6,0,0.028,0,177.6344,9,23,1,0,1,2676.516,0.0,1.0,0.0
FDI16,14.0,1,0.066,1,53.064,6,18,2,1,1,905.488,0.0,0.0,1.0
FDP16,18.6,0,0.039,1,246.3802,9,23,1,0,1,6501.8699,0.0,1.0,0.0
FDB11,16.0,0,0.061,0,226.8404,6,18,2,1,1,6301.1312,0.0,0.0,1.0
NCB06,17.6,0,0.082,2,160.692,6,18,2,1,1,1597.92,0.0,0.0,1.0
FDA45,21.25,0,0.155,1,178.237,6,18,2,1,1,529.311,0.0,0.0,1.0
NCO26,7.24,0,0.077,0,117.5492,6,18,2,1,1,1969.4364,0.0,0.0,1.0
DRJ25,14.6,0,0.151,2,50.3692,2,15,2,1,1,1034.6532,0.0,0.0,1.0
FDR28,13.85,1,0.026,1,161.521,3,13,1,2,2,1794.331,0.0,1.0,0.0
FDI04,13.65,1,0.073,1,197.6426,3,13,1,2,2,2768.3964,0.0,1.0,0.0
DRK12,12.86,0,0.042,2,31.29,5,37,1,2,3,898.83,0.0,1.0,0.0
FDX20,7.37,0,0.043,0,226.172,8,25,2,0,1,3169.208,0.0,0.0,1.0
NCI18,18.35,0,0.014,0,223.5746,3,13,1,2,2,3589.9936,0.0,1.0,0.0
FDB36,5.46,1,0.066,0,132.5626,3,13,1,2,2,262.3252,0.0,1.0,0.0
FDN13,18.6,0,0.153,0,99.8358,2,15,2,1,1,1910.1802,0.0,0.0,1.0
DRD24,13.85,0,0.031,2,140.9154,2,15,2,1,1,1701.7848,0.0,0.0,1.0
FDQ28,14.0,1,0.06,1,154.5656,1,35,0,2,1,2471.4496,1.0,0.0,0.0
FDM22,14.0,1,0.042,1,54.764,1,35,0,2,1,1331.6,1.0,0.0,0.0
FDR07,12.86,0,0.077,0,97.0094,5,37,1,2,3,1808.9786,0.0,1.0,0.0
FDV25,5.91,0,0.046,1,222.5456,3,13,1,2,2,3315.684,0.0,1.0,0.0
DRF49,7.27,0,0.071,2,114.2518,8,25,2,0,1,2618.5914,0.0,0.0,1.0
FDW51,6.16,1,0.095,0,214.556,8,25,2,0,1,2769.728,0.0,0.0,1.0
DRL01,19.5,1,0.078,2,233.4958,2,15,2,1,1,5375.0034,0.0,0.0,1.0
FDP25,15.2,0,0.021,1,216.8824,2,15,2,1,1,2838.9712,0.0,0.0,1.0
FDL50,12.15,1,0.042,1,125.0046,3,13,1,2,2,1743.0644,0.0,1.0,0.0
NCB30,12.86,0,0.026,0,198.8084,5,37,1,2,3,5555.4352,0.0,1.0,0.0
FDW11,12.6,0,0.049,0,61.9194,3,13,1,2,2,619.194,0.0,1.0,0.0
NCM43,14.5,0,0.019,2,164.821,6,18,2,1,1,2120.573,0.0,0.0,1.0
FDK44,16.6,0,0.123,0,173.0738,2,15,2,1,1,3823.0236,0.0,0.0,1.0
FDM15,11.8,1,0.057,0,151.4366,1,35,0,2,1,1360.2294,1.0,0.0,0.0
FDS31,13.1,1,0.044,0,178.8318,1,35,0,2,1,3969.4996,1.0,0.0,0.0
FDI32,17.7,0,0.292,0,115.1834,0,24,2,2,0,345.5502,0.0,0.0,1.0
FDR47,17.85,0,0.066,0,196.5794,0,24,2,2,0,585.2382,0.0,0.0,1.0
FDB35,12.3,1,0.065,0,92.6804,7,20,2,1,1,1010.6844,0.0,0.0,1.0
NCU05,11.8,0,0.098,2,81.4618,0,24,2,2,0,161.1236,0.0,0.0,1.0
DRY23,12.86,1,0.191,2,42.1112,4,37,2,0,0,42.6112,0.0,0.0,1.0
FDO24,11.1,0,0.177,0,157.4604,7,20,2,1,1,3010.7476,0.0,0.0,1.0
FDQ28,12.86,1,0.06,1,153.0656,5,37,1,2,3,6024.1584,0.0,1.0,0.0
FDV39,11.3,0,0.007,0,198.1426,7,20,2,1,1,988.713,0.0,0.0,1.0
NCO17,12.86,0,0.128,2,117.944,4,37,2,0,0,239.688,0.0,0.0,1.0
FDU50,5.75,1,0.075,0,112.8176,1,35,0,2,1,1374.2112,1.0,0.0,0.0
FDT12,12.86,1,0.049,0,226.8062,5,37,1,2,3,4739.8302,0.0,1.0,0.0
FDK58,11.35,1,0.045,1,100.0016,3,13,1,2,2,1012.016,0.0,1.0,0.0
FDO08,12.86,1,0.094,0,165.7526,4,37,2,0,0,657.8104,0.0,0.0,1.0
NCW29,14.0,0,0.029,2,130.431,9,23,1,0,1,778.986,0.0,1.0,0.0
FDE04,19.75,1,0.018,1,179.766,7,20,2,1,1,2336.958,0.0,0.0,1.0
NCB19,6.53,0,0.09,0,85.0882,9,23,1,0,1,2233.0932,0.0,1.0,0.0
FDV15,10.3,0,0.146,0,103.9648,9,23,1,0,1,1661.8368,0.0,1.0,0.0
FDL58,5.78,1,0.074,1,264.7568,9,23,1,0,1,4745.8224,0.0,1.0,0.0
FDA08,11.85,1,0.05,0,164.1526,7,20,2,1,1,3124.5994,0.0,0.0,1.0
FDT43,16.35,0,0.021,0,50.1324,3,13,1,2,2,467.3916,0.0,1.0,0.0
NCX06,12.86,0,0.016,0,182.5976,5,37,1,2,3,5070.7328,0.0,1.0,0.0
FDT20,10.5,0,0.041,0,37.6164,8,25,2,0,1,540.6296,0.0,0.0,1.0
FDB41,19.0,1,0.097,1,48.0718,8,25,2,0,1,992.7078,0.0,0.0,1.0
NCN55,14.6,0,0.06,2,238.8538,9,23,1,0,1,6008.845,0.0,1.0,0.0
FDE40,12.86,1,0.099,0,62.9194,5,37,1,2,3,2105.2596,0.0,1.0,0.0
FDX49,12.86,1,0.101,1,232.63,5,37,1,2,3,5359.69,0.0,1.0,0.0
NCM53,18.75,0,0.052,2,104.628,7,20,2,1,1,745.696,0.0,0.0,1.0
FDE36,5.26,1,0.042,0,161.8868,6,18,2,1,1,3275.736,0.0,0.0,1.0
FDN57,18.25,0,0.054,1,140.2154,7,20,2,1,1,1701.7848,0.0,0.0,1.0
FDI24,12.86,0,0.078,0,177.937,5,37,1,2,3,6501.8699,0.0,1.0,0.0
FDI19,15.1,0,0.052,0,242.7512,8,25,2,0,1,4119.9704,0.0,0.0,1.0
FDF24,15.5,1,0.042,0,81.5934,0,24,2,2,0,327.5736,0.0,0.0,1.0
FDG52,13.65,0,0.066,1,45.7402,9,23,1,0,1,780.9834,0.0,1.0,0.0
DRF36,16.1,0,0.024,2,189.3846,7,20,2,1,1,3630.6074,0.0,0.0,1.0
FDS45,12.86,1,0.052,1,107.3622,4,37,2,0,0,317.5866,0.0,0.0,1.0
FDX40,12.85,0,0.166,1,39.7164,0,24,2,2,0,231.6984,0.0,0.0,1.0
DRK12,9.5,0,0.042,2,32.99,6,18,2,1,1,133.16,0.0,0.0,1.0
DRC27,13.8,0,0.058,0,245.1802,6,18,2,1,1,5650.6446,0.0,0.0,1.0
FDL58,5.78,1,0.066,1,263.7568,2,15,2,1,1,2636.568,0.0,0.0,1.0
NCD30,19.7,0,0.027,0,96.0726,7,20,2,1,1,1272.3438,0.0,0.0,1.0
NCZ54,14.65,0,0.066,0,161.5552,0,24,2,2,0,324.9104,0.0,0.0,1.0
FDE10,6.67,1,0.151,1,130.0626,0,24,2,2,0,131.1626,0.0,0.0,1.0
FDR44,6.11,1,0.066,0,131.2968,0,24,2,2,0,260.9936,0.0,0.0,1.0
FDP28,13.65,1,0.135,1,260.0936,0,24,2,2,0,260.9936,0.0,0.0,1.0
FDX15,17.2,0,0.156,0,160.6578,1,35,0,2,1,3690.5294,1.0,0.0,0.0
FDA39,6.32,0,0.066,0,40.2822,6,18,2,1,1,1139.1838,0.0,0.0,1.0
FDY24,4.88,1,0.134,0,52.9298,9,23,1,0,1,1995.4026,0.0,1.0,0.0
FDC60,5.42,1,0.115,0,88.3514,2,15,2,1,1,1416.8224,0.0,0.0,1.0
FDH28,15.85,1,0.11,1,37.2506,8,25,2,0,1,265.6542,0.0,0.0,1.0
FDT25,7.5,0,0.051,1,121.7072,2,15,2,1,1,3552.7088,0.0,0.0,1.0
DRJ13,12.65,0,0.063,2,161.5578,1,35,0,2,1,2406.867,1.0,0.0,0.0
NCO07,12.86,0,0.017,2,211.956,4,37,2,0,0,213.056,0.0,0.0,1.0
FDW20,20.75,0,0.024,0,124.173,1,35,0,2,1,2956.152,1.0,0.0,0.0
DRF27,12.86,0,0.05,0,152.134,4,37,2,0,0,153.134,0.0,0.0,1.0
FDS49,9.0,0,0.066,1,79.7644,6,18,2,1,1,1649.8524,0.0,0.0,1.0
FDX25,12.86,0,0.102,1,181.9292,5,37,1,2,3,3101.2964,0.0,1.0,0.0
NCX42,12.86,0,0.006,0,165.6526,5,37,1,2,3,4769.1254,0.0,1.0,0.0
FDG33,12.86,1,0.14,0,170.4764,5,37,1,2,3,3435.528,0.0,1.0,0.0
FDL56,14.1,0,0.126,0,86.4198,7,20,2,1,1,1133.8574,0.0,0.0,1.0
FDF14,7.55,0,0.027,1,152.334,6,18,2,1,1,2603.278,0.0,0.0,1.0
NCD06,13.0,0,0.099,0,45.406,8,25,2,0,1,605.878,0.0,0.0,1.0
DRM47,12.86,0,0.044,2,192.8846,5,37,1,2,3,2293.0152,0.0,1.0,0.0
FDS46,12.86,1,0.083,1,118.7782,4,37,2,0,0,119.1782,0.0,0.0,1.0
FDB35,12.3,1,0.065,0,92.9804,1,35,0,2,1,1929.4884,1.0,0.0,0.0
FDX21,12.86,0,0.085,1,109.8912,5,37,1,2,3,2074.6328,0.0,1.0,0.0
NCU05,12.86,0,0.058,2,79.9618,5,37,1,2,3,241.6854,0.0,1.0,0.0
NCR38,17.25,0,0.114,0,251.3724,7,20,2,1,1,6501.8699,0.0,0.0,1.0
NCR18,15.85,0,0.021,0,42.7112,2,15,2,1,1,639.168,0.0,0.0,1.0
NCU41,18.85,0,0.052,2,192.1846,6,18,2,1,1,3248.4382,0.0,0.0,1.0
FDY56,16.35,1,0.063,0,227.6062,2,15,2,1,1,6501.8699,0.0,0.0,1.0
DRJ51,14.1,0,0.088,0,229.0668,6,18,2,1,1,3225.1352,0.0,0.0,1.0
FDK21,7.91,0,0.01,1,249.0408,6,18,2,1,1,3755.112,0.0,0.0,1.0
FDY25,12.0,0,0.034,1,179.3976,1,35,0,2,1,3440.8544,1.0,0.0,0.0
FDU44,12.15,1,0.058,0,163.4552,6,18,2,1,1,974.7312,0.0,0.0,1.0
FDL43,10.1,0,0.027,0,75.367,9,23,1,0,1,535.969,0.0,1.0,0.0
FDF05,17.5,0,0.027,1,262.491,2,15,2,1,1,5259.82,0.0,0.0,1.0
DRF15,12.86,0,0.058,0,152.034,4,37,2,0,0,306.268,0.0,0.0,1.0
FDL20,17.1,0,0.129,0,112.3886,3,13,1,2,2,1779.0176,0.0,1.0,0.0
FDV32,7.79,0,0.089,0,61.451,9,23,1,0,1,759.012,0.0,1.0,0.0
FDJ34,11.8,1,0.094,1,125.9704,1,35,0,2,1,1877.556,1.0,0.0,0.0
FDG08,13.15,1,0.166,0,171.8764,7,20,2,1,1,3779.0808,0.0,0.0,1.0
FDQ04,12.86,0,0.148,1,41.5796,4,37,2,0,0,41.2796,0.0,0.0,1.0
FDW13,8.5,0,0.098,1,51.1324,2,15,2,1,1,259.662,0.0,0.0,1.0
NCI17,8.64,0,0.143,2,96.341,1,35,0,2,1,193.082,1.0,0.0,0.0
FDY03,17.6,1,0.076,0,110.9202,7,20,2,1,1,1687.803,0.0,0.0,1.0
FDS12,9.1,0,0.175,0,127.5362,2,15,2,1,1,4655.9394,0.0,0.0,1.0
FDJ55,12.8,1,0.024,0,225.9404,1,35,0,2,1,4950.8888,1.0,0.0,0.0
DRK01,7.63,0,0.061,2,95.4436,6,18,2,1,1,1418.154,0.0,0.0,1.0
FDG28,9.29,1,0.05,1,246.4144,2,15,2,1,1,1225.072,0.0,0.0,1.0
FDY38,13.6,1,0.119,0,231.03,7,20,2,1,1,5359.69,0.0,0.0,1.0
FDN01,8.89,0,0.073,0,176.237,7,20,2,1,1,1764.37,0.0,0.0,1.0
NCR54,16.35,0,0.09,0,195.211,1,35,0,2,1,2553.343,1.0,0.0,0.0
FDG29,17.6,0,0.056,1,43.3454,1,35,0,2,1,1006.6896,1.0,0.0,0.0
FDG24,7.97,0,0.015,0,85.225,1,35,0,2,1,1081.925,1.0,0.0,0.0
FDG59,15.85,0,0.043,0,36.7164,2,15,2,1,1,308.9312,0.0,0.0,1.0
FDM28,15.7,0,0.045,1,178.666,1,35,0,2,1,2516.724,1.0,0.0,0.0
FDW04,8.98,1,0.058,1,128.831,8,25,2,0,1,1428.141,0.0,0.0,1.0
FDS26,20.35,0,0.089,0,260.1594,1,35,0,2,1,2093.2752,1.0,0.0,0.0
FDQ56,6.59,0,0.106,0,85.6908,1,35,0,2,1,1929.4884,1.0,0.0,0.0
FDK51,19.85,0,0.005,0,264.0884,6,18,2,1,1,5829.7448,0.0,0.0,1.0
FDL22,16.85,0,0.036,1,91.4488,8,25,2,0,1,2082.6224,0.0,0.0,1.0
FDH19,12.86,0,0.033,0,173.1738,5,37,1,2,3,6501.8699,0.0,1.0,0.0
FDY55,16.75,0,0.081,0,256.4988,1,35,0,2,1,6501.8699,1.0,0.0,0.0
FDY03,17.6,1,0.077,0,110.5202,2,15,2,1,1,450.0808,0.0,0.0,1.0
FDK21,7.91,0,0.017,1,250.4408,0,24,2,2,0,500.6816,0.0,0.0,1.0
